Generations, Recall
1, 0.5455
2, 0.3738
3, 0.3000
4, 0.2568
5, 0.1711
6, 0.1136
7, 0.0745
8, 0.0532
9, 0.0295
10, 0.0144
11, 0.0109
12, 0.0044
13, 0.0013
14, 0.0018
15, 0.0019
16, 0.0028
17, 0.0026
18, 0.0015
19, 0.0009
20, 0.0004
21, 0.0003
22, 0.0001
23, 0.0001
24, 0.0000
25, 0.0001
26, 0.0001
27, 0.0000
28, 0.0001
29, 0.0001
30, 0.0000
31, 0.0000
32, 0.0005
33, 0.0000
34, 0.0000
35, 0.0000
36, 0.0000
37, 0.0000
38, 0.0001
39, 0.0000
40, 0.0000
41, 0.0003
42, 0.0000
43, 0.0000
44, 0.0000
45, 0.0000
46, 0.0000
47, 0.0000
48, 0.0000
49, 0.0000
50, 0.0000
51, 0.0000
52, 0.0000
53, 0.0000
54, 0.0000
55, 0.0000
56, 0.0000
57, 0.0000
58, 0.0000
59, 0.0000
60, 0.0000
61, 0.0000
62, 0.0000
63, 0.0000
64, 0.0000
65, 0.0000
66, 0.0000
67, 0.0000
68, 0.0000
69, 0.0000
70, 0.0000
71, 0.0000
72, 0.0000
73, 0.0000
74, 0.0000
75, 0.0000
76, 0.0000
77, 0.0000
78, 0.0000
79, 0.0000
80, 0.0000
81, 0.0000
82, 0.0000
83, 0.0000
84, 0.0000
85, 0.0000
86, 0.0000
87, 0.0000
88, 0.0000
89, 0.0000
90, 0.0000
91, 0.0000
92, 0.0000
93, 0.0000
94, 0.0000
95, 0.0000
96, 0.0000
97, 0.0000
98, 0.0000
99, 0.0000
100, 0.0000
101, 0.0000