environment,source,avg_actions
S2KT7,gemini-2.5-flash,8.5
S2KT7,gemini-2.5-pro,5.5
S2KT7,human,37.0
S2KT7,o3,3.0
S2KT7,qwen3-235b-a22b-thinking-2507,6.0
27VWC,gemini-2.5-flash,4.5
27VWC,human,25.027777777777782
27VWC,o3,3.0
27VWC,qwen3-235b-a22b-thinking-2507,6.0
KFQYT,gemini-2.5-flash,6.0
KFQYT,gemini-2.5-pro,4.555555555555555
KFQYT,human,129.0
KFQYT,o3,5.666666666666667
B58F3,gemini-2.5-flash,1.1111111111111112
B58F3,human,1.0
B58F3,o3,4.666666666666667
NRDF6,gemini-2.5-flash,2.0
NRDF6,gemini-2.5-pro,3.0307692307692307
NRDF6,human,16.232142857142858
NRDF6,o3,0.9166666666666666
6JKKA,claude-4-sonnet,2.0
6JKKA,gemini-2.5-flash,3.0
6JKKA,gemini-2.5-pro,5.416666666666667
6JKKA,human,62.76666666666667
6JKKA,o3,5.0
6JKKA,qwen3-235b-a22b-thinking-2507,3.0
K8MTQ,claude-4-sonnet,38.0
K8MTQ,gemini-2.5-flash,7.0
K8MTQ,human,22.875
K8MTQ,qwen3-235b-a22b-thinking-2507,8.0
T5F9B,claude-4-sonnet,8.444444444444445
T5F9B,gemini-2.5-flash,2.972222222222222
T5F9B,gemini-2.5-pro,1.9846153846153847
T5F9B,human,8.074159356725147
T5F9B,o3,6.071428571428571
T5F9B,qwen3-235b-a22b-thinking-2507,7.75
N59TE,gemini-2.5-flash,10.0
N59TE,gemini-2.5-pro,10.25
N59TE,human,34.75
N59TE,o3,4.111111111111111
76Z75,claude-4-sonnet,13.0
76Z75,gemini-2.5-flash,2.25
76Z75,gemini-2.5-pro,6.135135135135135
76Z75,human,37.22222222222222
76Z75,o3,1.9473684210526314
NF5VZ,gemini-2.5-flash,4.833333333333333
NF5VZ,o3,1.0
NF5VZ,qwen3-235b-a22b-thinking-2507,11.0
236VK,human,18.56168831168831
DQ8GC,gemini-2.5-flash,6.0
DQ8GC,human,40.0
DQ8GC,o3,3.0
QM9XB,gemini-2.5-pro,3.142857142857143
QM9XB,human,28.354166666666668
QM9XB,qwen3-235b-a22b-thinking-2507,24.0
6JVMF,gemini-2.5-flash,2.944444444444444
6JVMF,gemini-2.5-pro,4.0
6JVMF,human,24.390625
27JBD,gemini-2.5-pro,5.25
27JBD,human,20.86904761904762
VQJH6,gemini-2.5-flash,3.0
VQJH6,gemini-2.5-pro,3.3015873015873014
VQJH6,human,19.0
VQJH6,o3,4.5
VQJH6,qwen3-235b-a22b-thinking-2507,15.0
QQM74,gemini-2.5-flash,5.166666666666667
QQM74,human,14.0
QQM74,o3,8.0
7XF97,claude-4-sonnet,12.75
7XF97,gemini-2.5-flash,2.3125
7XF97,gemini-2.5-pro,13.558333333333332
7XF97,human,191.35714285714286
7XF97,o3,7.0
7XF97,qwen3-235b-a22b-thinking-2507,6.0
BT3GB,human,217.0
BT3GB,o3,6.0
BT2KZ,gemini-2.5-flash,0.7777777777777778
BT2KZ,gemini-2.5-pro,2.3333333333333335
BT2KZ,human,15.25
BT2KZ,qwen3-235b-a22b-thinking-2507,2.0
B8AKZ,gemini-2.5-flash,2.0
B8AKZ,gemini-2.5-pro,27.75
B8AKZ,human,56.1875
B8AKZ,qwen3-235b-a22b-thinking-2507,7.0
9F8AJ,gemini-2.5-flash,8.333333333333334
9F8AJ,gemini-2.5-pro,6.847619047619048
9F8AJ,human,38.39404761904762
9F8AJ,qwen3-235b-a22b-thinking-2507,4.5
4CKC2,gemini-2.5-pro,7.717948717948718
4CKC2,human,11.083333333333334
7WWW9,gemini-2.5-flash,9.0
7WWW9,human,22.0
7WWW9,o3,8.0
N2NTD,gemini-2.5-flash,4.5
N2NTD,human,38.0
N2NTD,qwen3-235b-a22b-thinking-2507,4.0
BY2Q7,gemini-2.5-flash,5.0
BY2Q7,gemini-2.5-pro,6.135245901639344
BY2Q7,human,270.11111111111114
BY2Q7,qwen3-235b-a22b-thinking-2507,6.166666666666667
4T8TR,gemini-2.5-flash,5.5
4T8TR,gemini-2.5-pro,2.2
4T8TR,human,25.455357142857142
4T8TR,o3,2.5
4T8TR,qwen3-235b-a22b-thinking-2507,10.0
YS322,gemini-2.5-flash,5.166666666666667
YS322,gemini-2.5-pro,3.8895833333333334
YS322,human,44.708333333333336
YS322,qwen3-235b-a22b-thinking-2507,5.0
WHGHP,gemini-2.5-flash,3.25
WHGHP,gemini-2.5-pro,7.375
WHGHP,human,106.16666666666667
WHGHP,o3,1.9333333333333333
WHGHP,qwen3-235b-a22b-thinking-2507,8.0
EAHCW,gemini-2.5-flash,5.0
EAHCW,gemini-2.5-pro,5.785714285714286
EAHCW,human,23.875
EAHCW,qwen3-235b-a22b-thinking-2507,4.0
83WKQ,gemini-2.5-flash,2.1857142857142855
83WKQ,gemini-2.5-pro,5.8
83WKQ,human,36.53333333333333
83WKQ,o3,4.090909090909091
3J4Z7,gemini-2.5-flash,3.0
3J4Z7,gemini-2.5-pro,6.0
3J4Z7,human,11.083333333333334
3J4Z7,o3,2.6
3J4Z7,qwen3-235b-a22b-thinking-2507,6.0
QDHS3,human,108.0
VA6FQ,gemini-2.5-flash,3.395604395604396
VA6FQ,gemini-2.5-pro,2.5
VA6FQ,human,30.946470588235297
VA6FQ,o3,1.5714285714285714
VA6FQ,qwen3-235b-a22b-thinking-2507,8.083333333333332
7VKTD,gemini-2.5-flash,2.0
7VKTD,gemini-2.5-pro,9.0
7VKTD,human,32.666666666666664
set,gemini-2.5-flash,4.5
set,human,51.55333333333333
XHGKQ,human,19.0
XHGKQ,o3,3.6
F5W3N,gemini-2.5-pro,15.0
F5W3N,human,36.0
JXQAW,claude-4-sonnet,12.5
JXQAW,gemini-2.5-pro,8.153846153846153
JXQAW,human,15.3125
JXQAW,o3,3.6098901098901104
JXQAW,qwen3-235b-a22b-thinking-2507,6.5
4N7BB,gemini-2.5-flash,2.3333333333333335
4N7BB,human,22.5
NTQ4Y,gemini-2.5-pro,3.0
NTQ4Y,human,19.058333333333334
NTQ4Y,o3,3.0
DGG2C,gemini-2.5-flash,3.8125
DGG2C,human,34.625
