environment,source,interaction_total
S2KT7,claude-4-sonnet,24.0
S2KT7,gemini-2.5-pro,59.0
S2KT7,human,701.0
S2KT7,o3,47.0
27VWC,claude-4-sonnet,57.0
27VWC,gemini-2.5-pro,58.0
27VWC,human,788.0
27VWC,o3,79.0
KFQYT,claude-4-sonnet,23.0
KFQYT,gemini-2.5-pro,175.0
KFQYT,human,829.0
KFQYT,o3,60.0
B58F3,claude-4-sonnet,168.0
B58F3,gemini-2.5-pro,64.0
B58F3,human,1676.0
B58F3,o3,42.0
NRDF6,claude-4-sonnet,112.0
NRDF6,gemini-2.5-pro,343.0
NRDF6,human,428.0
NRDF6,o3,59.0
6JKKA,claude-4-sonnet,61.0
6JKKA,gemini-2.5-pro,159.0
6JKKA,human,1621.0
6JKKA,o3,41.0
K8MTQ,claude-4-sonnet,80.0
K8MTQ,gemini-2.5-pro,44.0
K8MTQ,human,840.0
K8MTQ,o3,34.0
T5F9B,claude-4-sonnet,93.0
T5F9B,gemini-2.5-pro,269.0
T5F9B,human,843.0
T5F9B,o3,88.0
N59TE,claude-4-sonnet,43.0
N59TE,gemini-2.5-pro,285.0
N59TE,human,449.0
N59TE,o3,103.0
76Z75,claude-4-sonnet,171.0
76Z75,gemini-2.5-pro,193.0
76Z75,human,433.0
76Z75,o3,107.0
NF5VZ,claude-4-sonnet,117.0
NF5VZ,gemini-2.5-pro,240.0
NF5VZ,human,869.0
NF5VZ,o3,43.0
236VK,claude-4-sonnet,46.0
236VK,gemini-2.5-pro,46.0
236VK,human,538.0
236VK,o3,37.0
DQ8GC,claude-4-sonnet,46.0
DQ8GC,gemini-2.5-pro,50.0
DQ8GC,human,853.0
DQ8GC,o3,35.0
QM9XB,claude-4-sonnet,160.0
QM9XB,gemini-2.5-pro,275.0
QM9XB,human,897.0
QM9XB,o3,57.0
6JVMF,claude-4-sonnet,80.0
6JVMF,gemini-2.5-pro,76.0
6JVMF,human,588.0
6JVMF,o3,31.0
27JBD,claude-4-sonnet,138.0
27JBD,gemini-2.5-pro,64.0
27JBD,human,672.0
27JBD,o3,44.0
VQJH6,claude-4-sonnet,87.0
VQJH6,gemini-2.5-pro,180.0
VQJH6,human,505.0
VQJH6,o3,58.0
QQM74,claude-4-sonnet,84.0
QQM74,gemini-2.5-pro,52.0
QQM74,human,438.0
QQM74,o3,43.0
7XF97,claude-4-sonnet,175.0
7XF97,gemini-2.5-pro,400.0
7XF97,human,1346.0
7XF97,o3,63.0
BT3GB,claude-4-sonnet,35.0
BT3GB,gemini-2.5-pro,51.0
BT3GB,human,1216.0
BT3GB,o3,42.0
BT2KZ,claude-4-sonnet,25.0
BT2KZ,gemini-2.5-pro,51.0
BT2KZ,human,358.0
BT2KZ,o3,28.0
B8AKZ,claude-4-sonnet,43.0
B8AKZ,gemini-2.5-pro,289.0
B8AKZ,human,999.0
B8AKZ,o3,73.0
9F8AJ,claude-4-sonnet,62.0
9F8AJ,gemini-2.5-pro,544.0
9F8AJ,human,1123.0
9F8AJ,o3,23.0
4CKC2,claude-4-sonnet,54.0
4CKC2,gemini-2.5-pro,109.0
4CKC2,human,492.0
4CKC2,o3,35.0
7WWW9,claude-4-sonnet,138.0
7WWW9,gemini-2.5-pro,166.0
7WWW9,human,1030.0
7WWW9,o3,63.0
N2NTD,claude-4-sonnet,118.0
N2NTD,gemini-2.5-pro,43.0
N2NTD,human,848.0
N2NTD,o3,46.0
BY2Q7,claude-4-sonnet,19.0
BY2Q7,gemini-2.5-pro,381.0
BY2Q7,human,1771.0
BY2Q7,o3,82.0
4T8TR,claude-4-sonnet,25.0
4T8TR,gemini-2.5-pro,38.0
4T8TR,human,577.0
4T8TR,o3,46.0
YS322,claude-4-sonnet,59.0
YS322,gemini-2.5-pro,220.0
YS322,human,840.0
YS322,o3,50.0
WHGHP,claude-4-sonnet,155.0
WHGHP,gemini-2.5-pro,144.0
WHGHP,human,816.0
WHGHP,o3,79.0
EAHCW,claude-4-sonnet,62.0
EAHCW,gemini-2.5-pro,108.0
EAHCW,human,1184.0
EAHCW,o3,66.0
83WKQ,claude-4-sonnet,57.0
83WKQ,gemini-2.5-pro,90.0
83WKQ,human,1637.0
83WKQ,o3,90.0
3J4Z7,claude-4-sonnet,122.0
3J4Z7,gemini-2.5-pro,39.0
3J4Z7,human,638.0
3J4Z7,o3,68.0
QDHS3,claude-4-sonnet,127.0
QDHS3,gemini-2.5-pro,18.0
QDHS3,human,722.0
QDHS3,o3,26.0
VA6FQ,claude-4-sonnet,96.0
VA6FQ,gemini-2.5-pro,50.0
VA6FQ,human,1023.0
VA6FQ,o3,79.0
7VKTD,claude-4-sonnet,233.0
7VKTD,gemini-2.5-pro,146.0
7VKTD,human,397.0
7VKTD,o3,39.0
set,claude-4-sonnet,32.0
set,gemini-2.5-pro,30.0
set,human,1773.0
set,o3,35.0
XHGKQ,claude-4-sonnet,42.0
XHGKQ,gemini-2.5-pro,81.0
XHGKQ,human,595.0
XHGKQ,o3,73.0
F5W3N,claude-4-sonnet,70.0
F5W3N,gemini-2.5-pro,233.0
F5W3N,human,678.0
F5W3N,o3,20.0
JXQAW,claude-4-sonnet,92.0
JXQAW,gemini-2.5-pro,177.0
JXQAW,human,696.0
JXQAW,o3,133.0
4N7BB,claude-4-sonnet,43.0
4N7BB,gemini-2.5-pro,53.0
4N7BB,human,509.0
4N7BB,o3,38.0
NTQ4Y,claude-4-sonnet,57.0
NTQ4Y,gemini-2.5-pro,49.0
NTQ4Y,human,949.0
NTQ4Y,o3,47.0
DGG2C,claude-4-sonnet,72.0
DGG2C,gemini-2.5-pro,43.0
DGG2C,human,879.0
DGG2C,o3,41.0
