environment,source,action,mean_count
S2KT7,claude-4-sonnet,up,1.5
S2KT7,gemini-2.5-flash,up,2.0
S2KT7,gemini-2.5-pro,up,2.3333333333333335
S2KT7,human,up,4.222222222222222
S2KT7,o3,up,1.3333333333333333
S2KT7,qwen3-235b-a22b-thinking-2507,up,2.6666666666666665
27VWC,claude-4-sonnet,up,1.0
27VWC,gemini-2.5-flash,up,1.0
27VWC,gemini-2.5-pro,up,1.6666666666666667
27VWC,human,up,1.4444444444444444
27VWC,o3,up,1.3333333333333333
27VWC,qwen3-235b-a22b-thinking-2507,up,3.6666666666666665
KFQYT,claude-4-sonnet,up,1.0
KFQYT,gemini-2.5-flash,up,1.3333333333333333
KFQYT,gemini-2.5-pro,up,5.333333333333333
KFQYT,human,up,14.666666666666666
KFQYT,o3,up,2.6666666666666665
KFQYT,qwen3-235b-a22b-thinking-2507,up,2.6666666666666665
B58F3,claude-4-sonnet,up,13.0
B58F3,gemini-2.5-flash,up,1.0
B58F3,gemini-2.5-pro,up,2.3333333333333335
B58F3,human,up,8.11111111111111
B58F3,o3,up,1.6666666666666667
B58F3,qwen3-235b-a22b-thinking-2507,up,1.0
NRDF6,claude-4-sonnet,up,1.0
NRDF6,gemini-2.5-flash,up,1.6666666666666667
NRDF6,gemini-2.5-pro,up,5.333333333333333
NRDF6,human,up,3.4444444444444446
NRDF6,o3,up,0.0
NRDF6,qwen3-235b-a22b-thinking-2507,up,29.0
6JKKA,claude-4-sonnet,up,2.6666666666666665
6JKKA,gemini-2.5-flash,up,0.6666666666666666
6JKKA,gemini-2.5-pro,up,10.666666666666666
6JKKA,human,up,46.77777777777778
6JKKA,o3,up,2.6666666666666665
6JKKA,qwen3-235b-a22b-thinking-2507,up,3.3333333333333335
K8MTQ,claude-4-sonnet,up,1.0
K8MTQ,gemini-2.5-flash,up,1.0
K8MTQ,gemini-2.5-pro,up,1.0
K8MTQ,human,up,6.444444444444445
K8MTQ,o3,up,0.6666666666666666
K8MTQ,qwen3-235b-a22b-thinking-2507,up,1.6666666666666667
T5F9B,claude-4-sonnet,up,1.3333333333333333
T5F9B,gemini-2.5-flash,up,1.6666666666666667
T5F9B,gemini-2.5-pro,up,2.0
T5F9B,human,up,3.6666666666666665
T5F9B,o3,up,0.6666666666666666
T5F9B,qwen3-235b-a22b-thinking-2507,up,0.6666666666666666
N59TE,claude-4-sonnet,up,0.6666666666666666
N59TE,gemini-2.5-flash,up,1.0
N59TE,gemini-2.5-pro,up,4.333333333333333
N59TE,human,up,4.333333333333333
N59TE,o3,up,2.3333333333333335
N59TE,qwen3-235b-a22b-thinking-2507,up,0.0
76Z75,claude-4-sonnet,up,10.0
76Z75,gemini-2.5-flash,up,1.3333333333333333
76Z75,gemini-2.5-pro,up,10.0
76Z75,human,up,7.333333333333333
76Z75,o3,up,3.0
76Z75,qwen3-235b-a22b-thinking-2507,up,0.75
NF5VZ,claude-4-sonnet,up,5.666666666666667
NF5VZ,gemini-2.5-flash,up,2.0
NF5VZ,gemini-2.5-pro,up,14.666666666666666
NF5VZ,human,up,19.444444444444443
NF5VZ,o3,up,1.0
NF5VZ,qwen3-235b-a22b-thinking-2507,up,10.333333333333334
236VK,claude-4-sonnet,up,1.3333333333333333
236VK,gemini-2.5-flash,up,1.6666666666666667
236VK,gemini-2.5-pro,up,1.6666666666666667
236VK,human,up,27.22222222222222
236VK,o3,up,2.6666666666666665
236VK,qwen3-235b-a22b-thinking-2507,up,1.6666666666666667
DQ8GC,claude-4-sonnet,up,1.0
DQ8GC,gemini-2.5-flash,up,3.0
DQ8GC,gemini-2.5-pro,up,1.6666666666666667
DQ8GC,human,up,7.888888888888889
DQ8GC,o3,up,1.0
DQ8GC,qwen3-235b-a22b-thinking-2507,up,2.3333333333333335
QM9XB,claude-4-sonnet,up,23.0
QM9XB,gemini-2.5-flash,up,3.3333333333333335
QM9XB,gemini-2.5-pro,up,11.666666666666666
QM9XB,human,up,31.77777777777778
QM9XB,o3,up,1.3333333333333333
QM9XB,qwen3-235b-a22b-thinking-2507,up,10.0
6JVMF,claude-4-sonnet,up,3.0
6JVMF,gemini-2.5-flash,up,4.666666666666667
6JVMF,gemini-2.5-pro,up,4.0
6JVMF,human,up,17.0
6JVMF,o3,up,2.0
6JVMF,qwen3-235b-a22b-thinking-2507,up,1.6666666666666667
27JBD,claude-4-sonnet,up,1.0
27JBD,gemini-2.5-flash,up,0.3333333333333333
27JBD,gemini-2.5-pro,up,0.3333333333333333
27JBD,human,up,5.666666666666667
27JBD,o3,up,0.6666666666666666
27JBD,qwen3-235b-a22b-thinking-2507,up,1.0
VQJH6,claude-4-sonnet,up,1.6666666666666667
VQJH6,gemini-2.5-flash,up,1.0
VQJH6,gemini-2.5-pro,up,7.333333333333333
VQJH6,human,up,2.6666666666666665
VQJH6,o3,up,2.6666666666666665
VQJH6,qwen3-235b-a22b-thinking-2507,up,1.6666666666666667
QQM74,claude-4-sonnet,up,3.3333333333333335
QQM74,gemini-2.5-flash,up,7.666666666666667
QQM74,gemini-2.5-pro,up,1.3333333333333333
QQM74,human,up,7.777777777777778
QQM74,o3,up,1.0
QQM74,qwen3-235b-a22b-thinking-2507,up,2.3333333333333335
7XF97,claude-4-sonnet,up,2.3333333333333335
7XF97,gemini-2.5-flash,up,1.0
7XF97,gemini-2.5-pro,up,3.0
7XF97,human,up,6.222222222222222
7XF97,o3,up,1.3333333333333333
7XF97,qwen3-235b-a22b-thinking-2507,up,2.0
BT3GB,claude-4-sonnet,up,1.3333333333333333
BT3GB,gemini-2.5-flash,up,1.6666666666666667
BT3GB,gemini-2.5-pro,up,1.3333333333333333
BT3GB,human,up,6.777777777777778
BT3GB,o3,up,1.3333333333333333
BT3GB,qwen3-235b-a22b-thinking-2507,up,0.6666666666666666
BT2KZ,claude-4-sonnet,up,1.0
BT2KZ,gemini-2.5-flash,up,0.3333333333333333
BT2KZ,gemini-2.5-pro,up,2.0
BT2KZ,human,up,2.2222222222222223
BT2KZ,o3,up,0.0
BT2KZ,qwen3-235b-a22b-thinking-2507,up,0.6666666666666666
B8AKZ,claude-4-sonnet,up,1.3333333333333333
B8AKZ,gemini-2.5-flash,up,2.6666666666666665
B8AKZ,gemini-2.5-pro,up,11.333333333333334
B8AKZ,human,up,8.222222222222221
B8AKZ,o3,up,2.3333333333333335
B8AKZ,qwen3-235b-a22b-thinking-2507,up,1.3333333333333333
9F8AJ,claude-4-sonnet,up,1.3333333333333333
9F8AJ,gemini-2.5-flash,up,1.6666666666666667
9F8AJ,gemini-2.5-pro,up,6.0
9F8AJ,human,up,7.666666666666667
9F8AJ,o3,up,1.0
9F8AJ,qwen3-235b-a22b-thinking-2507,up,0.6666666666666666
4CKC2,claude-4-sonnet,up,1.0
4CKC2,gemini-2.5-flash,up,0.6666666666666666
4CKC2,gemini-2.5-pro,up,3.0
4CKC2,human,up,1.8888888888888888
4CKC2,o3,up,1.0
4CKC2,qwen3-235b-a22b-thinking-2507,up,1.3333333333333333
7WWW9,claude-4-sonnet,up,9.333333333333334
7WWW9,gemini-2.5-flash,up,7.333333333333333
7WWW9,gemini-2.5-pro,up,14.666666666666666
7WWW9,human,up,17.0
7WWW9,o3,up,2.0
7WWW9,qwen3-235b-a22b-thinking-2507,up,3.6666666666666665
N2NTD,claude-4-sonnet,up,7.333333333333333
N2NTD,gemini-2.5-flash,up,2.0
N2NTD,gemini-2.5-pro,up,2.0
N2NTD,human,up,26.444444444444443
N2NTD,o3,up,2.0
N2NTD,qwen3-235b-a22b-thinking-2507,up,8.0
BY2Q7,claude-4-sonnet,up,0.3333333333333333
BY2Q7,gemini-2.5-flash,up,3.0
BY2Q7,gemini-2.5-pro,up,5.333333333333333
BY2Q7,human,up,3.2222222222222223
BY2Q7,o3,up,0.3333333333333333
BY2Q7,qwen3-235b-a22b-thinking-2507,up,0.6666666666666666
4T8TR,claude-4-sonnet,up,1.0
4T8TR,gemini-2.5-flash,up,0.6666666666666666
4T8TR,gemini-2.5-pro,up,2.0
4T8TR,human,up,4.111111111111111
4T8TR,o3,up,1.6666666666666667
4T8TR,qwen3-235b-a22b-thinking-2507,up,4.0
YS322,claude-4-sonnet,up,1.0
YS322,gemini-2.5-flash,up,0.6666666666666666
YS322,gemini-2.5-pro,up,1.6666666666666667
YS322,human,up,3.7777777777777777
YS322,o3,up,0.3333333333333333
YS322,qwen3-235b-a22b-thinking-2507,up,0.0
WHGHP,claude-4-sonnet,up,8.666666666666666
WHGHP,gemini-2.5-flash,up,4.666666666666667
WHGHP,gemini-2.5-pro,up,4.0
WHGHP,human,up,30.666666666666668
WHGHP,o3,up,4.333333333333333
WHGHP,qwen3-235b-a22b-thinking-2507,up,4.333333333333333
EAHCW,claude-4-sonnet,up,1.0
EAHCW,gemini-2.5-flash,up,0.6666666666666666
EAHCW,gemini-2.5-pro,up,3.0
EAHCW,human,up,10.222222222222221
EAHCW,o3,up,1.3333333333333333
EAHCW,qwen3-235b-a22b-thinking-2507,up,1.0
83WKQ,claude-4-sonnet,up,3.3333333333333335
83WKQ,gemini-2.5-flash,up,1.6666666666666667
83WKQ,gemini-2.5-pro,up,3.3333333333333335
83WKQ,human,up,17.444444444444443
83WKQ,o3,up,2.6666666666666665
83WKQ,qwen3-235b-a22b-thinking-2507,up,2.0
3J4Z7,claude-4-sonnet,up,1.0
3J4Z7,gemini-2.5-flash,up,0.3333333333333333
3J4Z7,gemini-2.5-pro,up,1.0
3J4Z7,human,up,4.222222222222222
3J4Z7,o3,up,0.6666666666666666
3J4Z7,qwen3-235b-a22b-thinking-2507,up,1.3333333333333333
QDHS3,claude-4-sonnet,up,10.0
QDHS3,gemini-2.5-flash,up,1.3333333333333333
QDHS3,gemini-2.5-pro,up,1.0
QDHS3,human,up,10.0
QDHS3,o3,up,1.0
QDHS3,qwen3-235b-a22b-thinking-2507,up,1.0
VA6FQ,claude-4-sonnet,up,1.0
VA6FQ,gemini-2.5-flash,up,6.0
VA6FQ,gemini-2.5-pro,up,1.3333333333333333
VA6FQ,human,up,5.0
VA6FQ,o3,up,1.0
VA6FQ,qwen3-235b-a22b-thinking-2507,up,0.6666666666666666
7VKTD,claude-4-sonnet,up,16.333333333333332
7VKTD,gemini-2.5-flash,up,6.333333333333333
7VKTD,gemini-2.5-pro,up,14.0
7VKTD,human,up,7.111111111111111
7VKTD,o3,up,3.6666666666666665
7VKTD,qwen3-235b-a22b-thinking-2507,up,2.0
set,claude-4-sonnet,up,1.0
set,gemini-2.5-flash,up,1.6666666666666667
set,gemini-2.5-pro,up,0.3333333333333333
set,human,up,8.0
set,o3,up,0.3333333333333333
set,qwen3-235b-a22b-thinking-2507,up,3.0
XHGKQ,claude-4-sonnet,up,1.3333333333333333
XHGKQ,gemini-2.5-flash,up,1.3333333333333333
XHGKQ,gemini-2.5-pro,up,3.0
XHGKQ,human,up,8.777777777777779
XHGKQ,o3,up,1.3333333333333333
XHGKQ,qwen3-235b-a22b-thinking-2507,up,1.3333333333333333
F5W3N,claude-4-sonnet,up,3.0
F5W3N,gemini-2.5-flash,up,1.6666666666666667
F5W3N,gemini-2.5-pro,up,10.333333333333334
F5W3N,human,up,17.666666666666668
F5W3N,o3,up,2.3333333333333335
F5W3N,qwen3-235b-a22b-thinking-2507,up,6.0
JXQAW,claude-4-sonnet,up,2.0
JXQAW,gemini-2.5-flash,up,1.0
JXQAW,gemini-2.5-pro,up,5.666666666666667
JXQAW,human,up,3.5555555555555554
JXQAW,o3,up,1.3333333333333333
JXQAW,qwen3-235b-a22b-thinking-2507,up,1.3333333333333333
4N7BB,claude-4-sonnet,up,1.0
4N7BB,gemini-2.5-flash,up,0.6666666666666666
4N7BB,gemini-2.5-pro,up,1.0
4N7BB,human,up,1.1111111111111112
4N7BB,o3,up,1.0
4N7BB,qwen3-235b-a22b-thinking-2507,up,0.0
NTQ4Y,claude-4-sonnet,up,1.0
NTQ4Y,gemini-2.5-flash,up,1.3333333333333333
NTQ4Y,gemini-2.5-pro,up,0.3333333333333333
NTQ4Y,human,up,3.4444444444444446
NTQ4Y,o3,up,0.0
NTQ4Y,qwen3-235b-a22b-thinking-2507,up,1.3333333333333333
DGG2C,claude-4-sonnet,up,3.0
DGG2C,gemini-2.5-flash,up,7.0
DGG2C,gemini-2.5-pro,up,1.0
DGG2C,human,up,13.222222222222221
DGG2C,o3,up,0.6666666666666666
DGG2C,qwen3-235b-a22b-thinking-2507,up,1.0
S2KT7,claude-4-sonnet,down,1.0
S2KT7,gemini-2.5-flash,down,1.0
S2KT7,gemini-2.5-pro,down,2.0
S2KT7,human,down,5.111111111111111
S2KT7,o3,down,0.6666666666666666
S2KT7,qwen3-235b-a22b-thinking-2507,down,2.0
27VWC,claude-4-sonnet,down,1.0
27VWC,gemini-2.5-flash,down,2.0
27VWC,gemini-2.5-pro,down,1.3333333333333333
27VWC,human,down,1.8888888888888888
27VWC,o3,down,1.0
27VWC,qwen3-235b-a22b-thinking-2507,down,2.3333333333333335
KFQYT,claude-4-sonnet,down,0.6666666666666666
KFQYT,gemini-2.5-flash,down,1.3333333333333333
KFQYT,gemini-2.5-pro,down,6.666666666666667
KFQYT,human,down,14.777777777777779
KFQYT,o3,down,4.666666666666667
KFQYT,qwen3-235b-a22b-thinking-2507,down,7.333333333333333
B58F3,claude-4-sonnet,down,13.666666666666666
B58F3,gemini-2.5-flash,down,0.6666666666666666
B58F3,gemini-2.5-pro,down,7.0
B58F3,human,down,4.111111111111111
B58F3,o3,down,1.3333333333333333
B58F3,qwen3-235b-a22b-thinking-2507,down,1.0
NRDF6,claude-4-sonnet,down,10.333333333333334
NRDF6,gemini-2.5-flash,down,1.0
NRDF6,gemini-2.5-pro,down,16.0
NRDF6,human,down,2.3333333333333335
NRDF6,o3,down,1.0
NRDF6,qwen3-235b-a22b-thinking-2507,down,6.666666666666667
6JKKA,claude-4-sonnet,down,2.6666666666666665
6JKKA,gemini-2.5-flash,down,1.3333333333333333
6JKKA,gemini-2.5-pro,down,5.0
6JKKA,human,down,17.88888888888889
6JKKA,o3,down,1.0
6JKKA,qwen3-235b-a22b-thinking-2507,down,3.6666666666666665
K8MTQ,claude-4-sonnet,down,1.0
K8MTQ,gemini-2.5-flash,down,2.3333333333333335
K8MTQ,gemini-2.5-pro,down,1.0
K8MTQ,human,down,4.666666666666667
K8MTQ,o3,down,0.6666666666666666
K8MTQ,qwen3-235b-a22b-thinking-2507,down,2.6666666666666665
T5F9B,claude-4-sonnet,down,0.6666666666666666
T5F9B,gemini-2.5-flash,down,1.3333333333333333
T5F9B,gemini-2.5-pro,down,2.3333333333333335
T5F9B,human,down,3.4444444444444446
T5F9B,o3,down,0.0
T5F9B,qwen3-235b-a22b-thinking-2507,down,1.3333333333333333
N59TE,claude-4-sonnet,down,1.3333333333333333
N59TE,gemini-2.5-flash,down,0.6666666666666666
N59TE,gemini-2.5-pro,down,7.0
N59TE,human,down,3.6666666666666665
N59TE,o3,down,2.0
N59TE,qwen3-235b-a22b-thinking-2507,down,1.0
76Z75,claude-4-sonnet,down,14.666666666666666
76Z75,gemini-2.5-flash,down,1.0
76Z75,gemini-2.5-pro,down,9.333333333333334
76Z75,human,down,8.666666666666666
76Z75,o3,down,3.6666666666666665
76Z75,qwen3-235b-a22b-thinking-2507,down,1.0
NF5VZ,claude-4-sonnet,down,8.0
NF5VZ,gemini-2.5-flash,down,2.0
NF5VZ,gemini-2.5-pro,down,16.333333333333332
NF5VZ,human,down,5.666666666666667
NF5VZ,o3,down,0.6666666666666666
NF5VZ,qwen3-235b-a22b-thinking-2507,down,5.666666666666667
236VK,claude-4-sonnet,down,1.3333333333333333
236VK,gemini-2.5-flash,down,0.3333333333333333
236VK,gemini-2.5-pro,down,2.3333333333333335
236VK,human,down,12.666666666666666
236VK,o3,down,1.6666666666666667
236VK,qwen3-235b-a22b-thinking-2507,down,2.6666666666666665
DQ8GC,claude-4-sonnet,down,5.0
DQ8GC,gemini-2.5-flash,down,5.666666666666667
DQ8GC,gemini-2.5-pro,down,5.0
DQ8GC,human,down,13.88888888888889
DQ8GC,o3,down,4.0
DQ8GC,qwen3-235b-a22b-thinking-2507,down,8.666666666666666
QM9XB,claude-4-sonnet,down,5.666666666666667
QM9XB,gemini-2.5-flash,down,1.3333333333333333
QM9XB,gemini-2.5-pro,down,13.333333333333334
QM9XB,human,down,9.222222222222221
QM9XB,o3,down,1.0
QM9XB,qwen3-235b-a22b-thinking-2507,down,7.333333333333333
6JVMF,claude-4-sonnet,down,4.0
6JVMF,gemini-2.5-flash,down,3.3333333333333335
6JVMF,gemini-2.5-pro,down,3.3333333333333335
6JVMF,human,down,13.222222222222221
6JVMF,o3,down,1.0
6JVMF,qwen3-235b-a22b-thinking-2507,down,1.3333333333333333
27JBD,claude-4-sonnet,down,0.6666666666666666
27JBD,gemini-2.5-flash,down,0.3333333333333333
27JBD,gemini-2.5-pro,down,0.3333333333333333
27JBD,human,down,7.555555555555555
27JBD,o3,down,0.0
27JBD,qwen3-235b-a22b-thinking-2507,down,7.0
VQJH6,claude-4-sonnet,down,1.6666666666666667
VQJH6,gemini-2.5-flash,down,1.0
VQJH6,gemini-2.5-pro,down,7.666666666666667
VQJH6,human,down,3.6666666666666665
VQJH6,o3,down,1.0
VQJH6,qwen3-235b-a22b-thinking-2507,down,1.0
QQM74,claude-4-sonnet,down,5.666666666666667
QQM74,gemini-2.5-flash,down,4.333333333333333
QQM74,gemini-2.5-pro,down,3.3333333333333335
QQM74,human,down,14.333333333333334
QQM74,o3,down,1.0
QQM74,qwen3-235b-a22b-thinking-2507,down,1.6666666666666667
7XF97,claude-4-sonnet,down,2.3333333333333335
7XF97,gemini-2.5-flash,down,1.0
7XF97,gemini-2.5-pro,down,5.0
7XF97,human,down,38.44444444444444
7XF97,o3,down,1.3333333333333333
7XF97,qwen3-235b-a22b-thinking-2507,down,0.6666666666666666
BT3GB,claude-4-sonnet,down,2.0
BT3GB,gemini-2.5-flash,down,1.6666666666666667
BT3GB,gemini-2.5-pro,down,5.0
BT3GB,human,down,78.11111111111111
BT3GB,o3,down,2.6666666666666665
BT3GB,qwen3-235b-a22b-thinking-2507,down,2.6666666666666665
BT2KZ,claude-4-sonnet,down,0.3333333333333333
BT2KZ,gemini-2.5-flash,down,0.0
BT2KZ,gemini-2.5-pro,down,2.0
BT2KZ,human,down,2.888888888888889
BT2KZ,o3,down,0.3333333333333333
BT2KZ,qwen3-235b-a22b-thinking-2507,down,3.0
B8AKZ,claude-4-sonnet,down,1.6666666666666667
B8AKZ,gemini-2.5-flash,down,2.0
B8AKZ,gemini-2.5-pro,down,26.333333333333332
B8AKZ,human,down,11.0
B8AKZ,o3,down,4.666666666666667
B8AKZ,qwen3-235b-a22b-thinking-2507,down,6.666666666666667
9F8AJ,claude-4-sonnet,down,0.3333333333333333
9F8AJ,gemini-2.5-flash,down,6.0
9F8AJ,gemini-2.5-pro,down,9.333333333333334
9F8AJ,human,down,5.666666666666667
9F8AJ,o3,down,0.3333333333333333
9F8AJ,qwen3-235b-a22b-thinking-2507,down,5.333333333333333
4CKC2,claude-4-sonnet,down,1.0
4CKC2,gemini-2.5-flash,down,0.6666666666666666
4CKC2,gemini-2.5-pro,down,3.3333333333333335
4CKC2,human,down,1.7777777777777777
4CKC2,o3,down,0.6666666666666666
4CKC2,qwen3-235b-a22b-thinking-2507,down,6.0
7WWW9,claude-4-sonnet,down,8.666666666666666
7WWW9,gemini-2.5-flash,down,1.3333333333333333
7WWW9,gemini-2.5-pro,down,11.333333333333334
7WWW9,human,down,17.666666666666668
7WWW9,o3,down,2.6666666666666665
7WWW9,qwen3-235b-a22b-thinking-2507,down,13.0
N2NTD,claude-4-sonnet,down,5.666666666666667
N2NTD,gemini-2.5-flash,down,1.0
N2NTD,gemini-2.5-pro,down,2.3333333333333335
N2NTD,human,down,2.6666666666666665
N2NTD,o3,down,2.0
N2NTD,qwen3-235b-a22b-thinking-2507,down,3.0
BY2Q7,claude-4-sonnet,down,1.0
BY2Q7,gemini-2.5-flash,down,3.3333333333333335
BY2Q7,gemini-2.5-pro,down,11.333333333333334
BY2Q7,human,down,8.777777777777779
BY2Q7,o3,down,0.3333333333333333
BY2Q7,qwen3-235b-a22b-thinking-2507,down,5.666666666666667
4T8TR,claude-4-sonnet,down,1.0
4T8TR,gemini-2.5-flash,down,1.0
4T8TR,gemini-2.5-pro,down,1.3333333333333333
4T8TR,human,down,5.555555555555555
4T8TR,o3,down,1.0
4T8TR,qwen3-235b-a22b-thinking-2507,down,1.6666666666666667
YS322,claude-4-sonnet,down,0.6666666666666666
YS322,gemini-2.5-flash,down,1.0
YS322,gemini-2.5-pro,down,3.6666666666666665
YS322,human,down,3.7777777777777777
YS322,o3,down,0.3333333333333333
YS322,qwen3-235b-a22b-thinking-2507,down,0.0
WHGHP,claude-4-sonnet,down,7.333333333333333
WHGHP,gemini-2.5-flash,down,1.3333333333333333
WHGHP,gemini-2.5-pro,down,6.666666666666667
WHGHP,human,down,29.666666666666668
WHGHP,o3,down,3.3333333333333335
WHGHP,qwen3-235b-a22b-thinking-2507,down,3.6666666666666665
EAHCW,claude-4-sonnet,down,0.6666666666666666
EAHCW,gemini-2.5-flash,down,0.6666666666666666
EAHCW,gemini-2.5-pro,down,3.3333333333333335
EAHCW,human,down,7.777777777777778
EAHCW,o3,down,1.0
EAHCW,qwen3-235b-a22b-thinking-2507,down,1.0
83WKQ,claude-4-sonnet,down,2.6666666666666665
83WKQ,gemini-2.5-flash,down,1.0
83WKQ,gemini-2.5-pro,down,4.333333333333333
83WKQ,human,down,17.22222222222222
83WKQ,o3,down,1.6666666666666667
83WKQ,qwen3-235b-a22b-thinking-2507,down,1.3333333333333333
3J4Z7,claude-4-sonnet,down,1.0
3J4Z7,gemini-2.5-flash,down,0.3333333333333333
3J4Z7,gemini-2.5-pro,down,1.0
3J4Z7,human,down,3.3333333333333335
3J4Z7,o3,down,1.0
3J4Z7,qwen3-235b-a22b-thinking-2507,down,2.3333333333333335
QDHS3,claude-4-sonnet,down,7.666666666666667
QDHS3,gemini-2.5-flash,down,1.3333333333333333
QDHS3,gemini-2.5-pro,down,1.3333333333333333
QDHS3,human,down,9.88888888888889
QDHS3,o3,down,3.0
QDHS3,qwen3-235b-a22b-thinking-2507,down,1.6666666666666667
VA6FQ,claude-4-sonnet,down,1.0
VA6FQ,gemini-2.5-flash,down,5.333333333333333
VA6FQ,gemini-2.5-pro,down,2.0
VA6FQ,human,down,6.888888888888889
VA6FQ,o3,down,1.3333333333333333
VA6FQ,qwen3-235b-a22b-thinking-2507,down,2.3333333333333335
7VKTD,claude-4-sonnet,down,17.666666666666668
7VKTD,gemini-2.5-flash,down,2.6666666666666665
7VKTD,gemini-2.5-pro,down,11.333333333333334
7VKTD,human,down,7.0
7VKTD,o3,down,1.0
7VKTD,qwen3-235b-a22b-thinking-2507,down,0.3333333333333333
set,claude-4-sonnet,down,2.6666666666666665
set,gemini-2.5-flash,down,0.6666666666666666
set,gemini-2.5-pro,down,1.0
set,human,down,8.88888888888889
set,o3,down,0.6666666666666666
set,qwen3-235b-a22b-thinking-2507,down,1.0
XHGKQ,claude-4-sonnet,down,1.0
XHGKQ,gemini-2.5-flash,down,1.3333333333333333
XHGKQ,gemini-2.5-pro,down,2.6666666666666665
XHGKQ,human,down,10.222222222222221
XHGKQ,o3,down,0.6666666666666666
XHGKQ,qwen3-235b-a22b-thinking-2507,down,0.3333333333333333
F5W3N,claude-4-sonnet,down,9.666666666666666
F5W3N,gemini-2.5-flash,down,0.6666666666666666
F5W3N,gemini-2.5-pro,down,3.0
F5W3N,human,down,3.2222222222222223
F5W3N,o3,down,0.3333333333333333
F5W3N,qwen3-235b-a22b-thinking-2507,down,0.6666666666666666
JXQAW,claude-4-sonnet,down,1.0
JXQAW,gemini-2.5-flash,down,0.3333333333333333
JXQAW,gemini-2.5-pro,down,6.333333333333333
JXQAW,human,down,3.5555555555555554
JXQAW,o3,down,0.0
JXQAW,qwen3-235b-a22b-thinking-2507,down,1.6666666666666667
4N7BB,claude-4-sonnet,down,1.0
4N7BB,gemini-2.5-flash,down,0.6666666666666666
4N7BB,gemini-2.5-pro,down,1.0
4N7BB,human,down,1.7777777777777777
4N7BB,o3,down,0.3333333333333333
4N7BB,qwen3-235b-a22b-thinking-2507,down,0.0
NTQ4Y,claude-4-sonnet,down,1.0
NTQ4Y,gemini-2.5-flash,down,1.0
NTQ4Y,gemini-2.5-pro,down,1.3333333333333333
NTQ4Y,human,down,2.7777777777777777
NTQ4Y,o3,down,0.6666666666666666
NTQ4Y,qwen3-235b-a22b-thinking-2507,down,8.666666666666666
DGG2C,claude-4-sonnet,down,10.0
DGG2C,gemini-2.5-flash,down,5.333333333333333
DGG2C,gemini-2.5-pro,down,5.333333333333333
DGG2C,human,down,10.222222222222221
DGG2C,o3,down,0.3333333333333333
DGG2C,qwen3-235b-a22b-thinking-2507,down,6.0
S2KT7,claude-4-sonnet,left,1.5
S2KT7,gemini-2.5-flash,left,1.6666666666666667
S2KT7,gemini-2.5-pro,left,2.6666666666666665
S2KT7,human,left,4.888888888888889
S2KT7,o3,left,3.0
S2KT7,qwen3-235b-a22b-thinking-2507,left,0.6666666666666666
27VWC,claude-4-sonnet,left,1.0
27VWC,gemini-2.5-flash,left,1.0
27VWC,gemini-2.5-pro,left,1.6666666666666667
27VWC,human,left,1.6666666666666667
27VWC,o3,left,1.3333333333333333
27VWC,qwen3-235b-a22b-thinking-2507,left,0.6666666666666666
KFQYT,claude-4-sonnet,left,0.6666666666666666
KFQYT,gemini-2.5-flash,left,1.3333333333333333
KFQYT,gemini-2.5-pro,left,3.3333333333333335
